date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:47	88147/88147	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a6b6350ee94a3ea74595c065cbf58af0%22	https://deepfake-detect.com/assets/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/jquery/jquery.min.js	(from https://deepfake-detect.com/)
16:56:47	80704/80704	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ac3d5fcba485b4672c4a59957794939%22	https://deepfake-detect.com/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://deepfake-detect.com/)
16:56:47	2532/2532	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e2d41e5c8fed838d9014fea53d45ce75%22	https://deepfake-detect.com/assets/vendor/jquery.easing/jquery.easing.min.js	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/jquery.easing/jquery.easing.min.js	(from https://deepfake-detect.com/)
16:56:48	3663/3663	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c2e1a2a563b220d5b2fc50ed05235a3e%22	https://deepfake-detect.com/assets/vendor/php-email-form/validate.js	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/php-email-form/validate.js	(from https://deepfake-detect.com/)
16:56:48	44348/44348	---MCZ	200	added ('OK')	application/javascript	etag:W/%2247c357c05cb99cedbac2874840319818%22	https://deepfake-detect.com/assets/vendor/owl.carousel/owl.carousel.min.js	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/owl.carousel/owl.carousel.min.js	(from https://deepfake-detect.com/)
16:56:49	11371/11371	---MCZ	200	added ('OK')	application/javascript	etag:W/%22300a22e5c5b797b72e8e58e074927865%22	https://deepfake-detect.com/assets/vendor/venobox/venobox.min.js	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/venobox/venobox.min.js	(from https://deepfake-detect.com/)
16:56:49	14690/14690	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d3718e34eeb0355be8e3179a2e2bccb7%22	https://deepfake-detect.com/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/aos/aos.js	(from https://deepfake-detect.com/)
16:56:50	4629/4629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d3a7c951675ebaa7b94c8b78cb34254e%22	https://deepfake-detect.com/assets/js/main.js	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/js/main.js	(from https://deepfake-detect.com/)
16:56:50	144575/144575	---MCZ	200	added ('OK')	application/javascript	etag:W/%22234bf-pcY2U2tSdH9BxSOIeZKIuM/zp/E%22	https://unpkg.com/uppload@2.3.0/dist/browser.js	C:/My%20Web%20Sites/Deepfake%20Dectection/unpkg.com/uppload@2.3.0/dist/browser.js	(from https://deepfake-detect.com/)
16:56:51	537868/537868	---M--	200	added ('OK')	binary/octet-stream	etag:%2250a4ab76e700a83e649be213f820fbbd%22	https://deepfake-detect.com/assets/vendor/icofont/fonts/icofont.woff2	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/icofont/fonts/icofont.woff2	(from https://deepfake-detect.com/assets/vendor/icofont/icofont.min.css)
16:56:52	645604/645604	---M--	200	added ('OK')	application/font-woff	etag:%22f6ab04aed30a8643bf94fe00f7ff0b59%22	https://deepfake-detect.com/assets/vendor/icofont/fonts/icofont.woff	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/icofont/fonts/icofont.woff	(from https://deepfake-detect.com/assets/vendor/icofont/icofont.min.css)
16:56:52	263296/263296	---M--	200	added ('OK')	binary/octet-stream	etag:%2206ab33ae3e2cbae0f509cd05f2ee6793%22	https://deepfake-detect.com/assets/vendor/boxicons/fonts/boxicons.eot	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/boxicons/fonts/boxicons.eot	(from https://deepfake-detect.com/assets/vendor/boxicons/css/boxicons.min.css)
16:56:52	89924/89924	---M--	200	added ('OK')	binary/octet-stream	etag:%22aeaf4ee6e2c712532f982c8a4dd68b16%22	https://deepfake-detect.com/assets/vendor/boxicons/fonts/boxicons.woff2	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://deepfake-detect.com/assets/vendor/boxicons/css/boxicons.min.css)
16:56:53	263204/263204	---M--	200	added ('OK')	application/font-woff	etag:%225bbebd73a37de0cc242e872b4483269e%22	https://deepfake-detect.com/assets/vendor/boxicons/fonts/boxicons.woff	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/boxicons/fonts/boxicons.woff	(from https://deepfake-detect.com/assets/vendor/boxicons/css/boxicons.min.css)
16:56:54	263128/263128	---M--	200	added ('OK')	binary/octet-stream	etag:%2272589e162de78952d4d6b5ce8b832175%22	https://deepfake-detect.com/assets/vendor/boxicons/fonts/boxicons.ttf	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://deepfake-detect.com/assets/vendor/boxicons/css/boxicons.min.css)
16:56:54	4976/4976	---M--	200	added ('OK')	image/png	etag:%224a37f8008959c75f619bf0a3a4e2d7a2%22	https://deepfake-detect.com/assets/vendor/owl.carousel/assets/owl.video.play.png	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/owl.carousel/assets/owl.video.play.png	(from https://deepfake-detect.com/assets/vendor/owl.carousel/assets/owl.carousel.min.css)
16:56:54	935284/935284	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2266d9fae4a22d74c2618f44c585a0c1a8%22	https://deepfake-detect.com/assets/vendor/boxicons/fonts/boxicons.svg?	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://deepfake-detect.com/assets/vendor/boxicons/css/boxicons.min.css)
